key,desc,where,type,length
fmlybusnreltdcd,Business relationship thru family member?,990 Core_Pt IV-28b,Char,1
servasofficercd,"Officer, etc. of entity with business relationship?",990 Core_Pt IV-28c,Char,1
recvnoncashcd,Deductible non-cash contributions?,990 Core_Pt IV-29,Char,1
recvartcd,"Deductible contributions of art, etc?",990 Core_Pt IV-30,Char,1
ceaseoperationscd,Terminated?,990 Core_Pt IV-31,Char,1
sellorexchcd,Partial liquidation?,990 Core_Pt IV-32,Char,1
ownsepentcd,Disregarded entity?,990 Core_Pt IV-33,Char,1
reltdorgcd,Related entity?,990 Core_Pt IV-34,Char,1
intincntrlcd,Related organization a controlled entity?,990 Core_Pt IV-35,Char,1
orgtrnsfrcd,Any transfers to exempt non-charitable org?,990 Core_Pt IV-36,Char,1
conduct5percentcd,Activities conducted thru partnership?,990 Core_Pt IV-37,Char,1
compltschocd,Schedule O completed?,990 Core_Pt IV-38,Char,1
f1096cnt,Number forms transmitted with 1096,990 Core_Pt V-1a,Num,6
fw2gcnt,Number W-2Gs included in 1a,990 Core_Pt V-1b,Num,6
wthldngrulescd,Compliance with backup witholding?,990 Core_Pt V-1c,Char,1
noemplyeesw3cnt,Number of employees,990 Core_Pt V-2a,Num,6
filerqrdrtnscd,Employment tax returns filed?,990 Core_Pt V-2b,Char,1
unrelbusinccd,Unrelated business income?,990 Core_Pt V-3a,Char,1
filedf990tcd,Form 990-T filed?,990 Core_Pt V-3b,Char,1
frgnacctcd,Foreign financial account?,990 Core_Pt V-4a,Char,1
prohibtdtxshltrcd,Prohibited tax shelter transaction?,990 Core_Pt V-5a,Char,1
prtynotifyorgcd,Taxable party notification?,990 Core_Pt V-5b,Char,1
filedf8886tcd,Form 8886-T filed?,990 Core_Pt V-5c,Char,1
solicitcntrbcd,Non-deductible contributions?,990 Core_Pt V-6a,Char,1
exprstmntcd,Non-deduct. disclosure?,990 Core_Pt V-6b,Char,1
providegoodscd,Quid pro quo contributions?,990 Core_Pt V-7a,Char,1
notfydnrvalcd,Quid pro quo disclosure?,990 Core_Pt V-7b,Char,1
filedf8282cd,Form 8282 property disposed of?,990 Core_Pt V-7c,Char,1
f8282cnt,Number of 8282s filed,990 Core_Pt V-7d,Num,6
fndsrcvdcd,Funds to pay premiums?,990 Core_Pt V-7e,Char,1
premiumspaidcd,Premiums paid?,990 Core_Pt V-7f,Char,1
filedf8899cd,Form 8899 filed?,990 Core_Pt V-7g,Char,1
filedf1098ccd,Form 1098-C filed?,990 Core_Pt V-7h,Char,1
excbushldngscd,Excess business holdings?,990 Core_Pt V-8,Char,1
s4966distribcd,Taxable distributions?,990 Core_Pt V-9a,Char,1
distribtodonorcd,Distribution to donor?,990 Core_Pt V-9b,Char,1
initiationfees,Initiation fees amount,990 Core_Pt V-10a,Num,17
grsrcptspublicuse,Gross receipts amount,990 Core_Pt V-10b,Num,17
grsincmembers,Gross income from members,990 Core_Pt V-11a,Num,17
grsincother,Gross income from other sources,990 Core_Pt V-11b,Num,17
filedlieuf1041cd,Form 990 in lieu of 1041?,990 Core_Pt V-12a,Char,1
txexmptint,Tax exempt interest in lieu of 1041,990 Core_Pt V-12b,Num,17
qualhlthplncd,Qualified health plan in multiple states,990 Core_Pt V - 13a,Char,1
qualhlthreqmntn,Qualified health plan reserves required,990 Core_Pt V - 13b,Num,17
qualhlthonhnd,Qualified health plan reserves on hand,990 Core_Pt V - 13c,Num,17
rcvdpdtngcd,Payments for indoor tanning,990 Core_Pt V - 14a,Char,1
filedf720cd,Filed Form 720 for tanning,990 Core_Pt V - 14b,Char,1
totreprtabled,Reportable compensation from organization,990 Core_Pt VII-A-1d(D),Num,17
totcomprelatede,Reportable compensation from related orgs,990 Core_Pt VII-A-1d(E),Num,17
totestcompf,Other compensation,990 Core_Pt VII-A-1d(F),Num,17
noindiv100kcnt,Number individuals greater than $100K,990 Core_Pt VII-A-2,Num,6
nocontractor100kcnt,Number of contractors greater than $100K,990 Core_Pt VII-B-2,Num,6
totcntrbgfts,Total contributions,990 Core_Pt VIII-1h(A),Num,17
prgmservcode2acd,Program service revenue code 2a,990 Core_Pt VIII-2a,Num,6
totrev2acola,Program service revenue amount 2a,990 Core_Pt VIII-2a(A),Num,17
prgmservcode2bcd,Program service revenue code 2b,990 Core_Pt VIII-2b,Num,6
totrev2bcola,Program service revenue amount 2b,990 Core_Pt VIII-2b(A),Num,17
prgmservcode2ccd,Program service revenue code 2c,990 Core_Pt VIII-2c,Num,6
totrev2ccola,Program service revenue amount 2c,990 Core_Pt VIII-2c(A),Num,17
prgmservcode2dcd,Program service revenue code 2d,990 Core_Pt VIII-2d,Num,6
totrev2dcola,Program service revenue amount 2d,990 Core_Pt VIII-2d(A),Num,17
prgmservcode2ecd,Program service revenue code 2e,990 Core_Pt VIII-2e,Num,6
totrev2ecola,Program service revenue amount 2e,990 Core_Pt VIII-2e(A),Num,17
totrev2fcola,Program service revenue amount 2f,990 Core_Pt VIII-2f(A),Num,17
totprgmrevnue,Program service revenue,990 Core_Pt VIII-2g(A),Num,17
invstmntinc,Investment income,990 Core_Pt VIII-3(A),Num,17
txexmptbndsproceeds,Tax-exempt bond proceeds,990 Core_Pt VIII-4(A),Num,17
royaltsinc,Royalties,990 Core_Pt VIII-5(A),Num,17
grsrntsreal,Gross rents -- Real estate,990 Core_Pt VIII-6a(i),Num,17
grsrntsprsnl,Gross rents -- Personal property,990 Core_Pt VIII-6a(ii),Num,17
rntlexpnsreal,Rental expense -- Real estate,990 Core_Pt VIII-6b(i),Num,17
rntlexpnsprsnl,Rental expense -- Personal property,990 Core_Pt VIII-6b(ii),Num,17
rntlincreal,Net rent -- Real estate,990 Core_Pt VIII-6c(i),Num,17
rntlincprsnl,Net rent -- Personal property,990 Core_Pt VIII-6c(ii),Num,17
netrntlinc,Net rental income,990 Core_Pt VIII-6d(A),Num,17
grsalesecur,Gross sales -- Securities,990 Core_Pt VIII-7a(i),Num,17
grsalesothr,Gross sales -- Other assets,990 Core_Pt VIII-7a(ii),Num,17
cstbasisecur,Sales expense -- Securities,990 Core_Pt VIII-7b(i),Num,17
cstbasisothr,Sales expense -- Other assets,990 Core_Pt VIII-7b(ii),Num,17
gnlsecur,Net gain from sales -- Securities,990 Core_Pt VIII-7c(i),Num,17
gnlsothr,Net gain from sales -- Other assets,990 Core_Pt VIII-7c(ii),Num,17
netgnls,Sales of assets,990 Core_Pt VIII-7d(A),Num,17
grsincfndrsng,Gross fundraising,990 Core_Pt VIII-8a,Num,17
lessdirfndrsng,Fundraising expenses,990 Core_Pt VIII-8b,Num,17
netincfndrsng,Fundraising income,990 Core_Pt VIII-8c(A),Num,17
grsincgaming,Gross income from gaming,990 Core_Pt VIII-9a,Num,17
lessdirgaming,Gaming expenses,990 Core_Pt VIII-9b,Num,17
netincgaming,Gaming income,990 Core_Pt VIII-9c(A),Num,17
grsalesinvent,Gross sales of inventory,990 Core_Pt VIII-10a,Num,17
lesscstofgoods,Cost of goods sold (inventory),990 Core_Pt VIII-10b,Num,17
netincsales,Income from sales of inventory,990 Core_Pt VIII-10c(A),Num,17
miscrev11acd,Other revenue code 11a,990 Core_Pt VIII-11a,Num,6
miscrevtota,Other revenue amount 11a,990 Core_Pt VIII-11a(A),Num,17
miscrev11bcd,Other revenue code 11b,990 Core_Pt VIII-11b,Num,6
miscrevtot11b,Other revenue amount 11b,990 Core_Pt VIII-11b(A),Num,17
miscrev11ccd,Other revenue code 11c,990 Core_Pt VIII-11c,Num,6
miscrevtot11c,Other revenue amount 11c,990 Core_Pt VIII-11c(A),Num,17
miscrevtot11d,Other revenue amount 11d,990 Core_Pt VIII-11d(A),Num,17
miscrevtot11e,Other revenue,990 Core_Pt VIII-11e(A),Num,17
totrevenue,Total revenue,990 Core_Pt VIII-12(A),Num,17
grntstogovt,Grants to governments/orgs in the US,990 Core_Pt IX-1(A),Num,17
grnsttoindiv,Grants to individuals in the US,990 Core_Pt IX-2(A),Num,17
grntstofrgngovt,Grants to orgs and individuals outside the US,990 Core_Pt IX-3(A),Num,17
benifitsmembrs,Benefits paid to or for members,990 Core_Pt IX-4(A),Num,17
compnsatncurrofcr,"Compensation of current officers, directors, etc ",990 Core_Pt IX-5(A),Num,17
compnsatnandothr,Compensation of disqualified persons,990 Core_Pt IX-6(A),Num,17
othrsalwages,Other salaries and wages,990 Core_Pt IX-7(A),Num,17
pensionplancontrb,Pension plan contributions,990 Core_Pt IX-8(A),Num,17
othremplyeebenef,Other employee benefits,990 Core_Pt IX-9(A),Num,17
payrolltx,Payroll taxes,990 Core_Pt IX-10(A),Num,17
feesforsrvcmgmt,Management fees,990 Core_Pt IX-11a(A),Num,17
legalfees,Legal fees,990 Core_Pt IX-11b(A),Num,17
accntingfees,Accounting fees,990 Core_Pt IX-11c(A),Num,17
feesforsrvclobby,Lobbying fees,990 Core_Pt IX-11d(A),Num,17
profndraising,Professional fundraising fees,990 Core_Pt IX-11e(A),Num,17
feesforsrvcinvstmgmt,Investment management feed,990 Core_Pt IX-11f(A),Num,17
feesforsrvcothr,Other fees,990 Core_Pt IX-11g(A),Num,17
advrtpromo,Advertising and promotion,990 Core_Pt IX-12(A),Num,17
officexpns,Office expenses,990 Core_Pt IX-13(A),Num,17
infotech,Information technology,990 Core_Pt IX-14(A),Num,17
royaltsexpns,Royalties,990 Core_Pt IX-15(A),Num,17
occupancy,Occupancy,990 Core_Pt IX-16(A),Num,17
travel,Travel,990 Core_Pt IX-17(A),Num,17
travelofpublicoffcl,Travel/entertainment expenses to public officials,990 Core_Pt IX-18(A),Num,17
converconventmtng,"Conferences, conventions, meetings",990 Core_Pt IX-19(A),Num,17
interestamt,Interest expense,990 Core_Pt IX20(A),Num,17
pymtoaffiliates,Payments to affiliates,990 Core_Pt IX-21(A),Num,17
deprcatndepletn,"Depreciation, depletion, amortization",990 Core_Pt IX-22(A),Num,17
insurance,Insurance,990 Core_Pt IX-23(A),Num,17
othrexpnsa,Other expenses 24a,990 Core_Pt IX-24a(A),Num,17
othrexpnsb,Other expenses 24b,990 Core_Pt IX-24b(A),Num,17
othrexpnsc,Other expenses 24c,990 Core_Pt IX-24c(A),Num,17
othrexpnsd,Other expenses 24d,990 Core_Pt IX-24d(A),Num,17
othrexpnse,Other expenses 24e,990 Core_Pt IX-24e(A),Num,17
othrexpnsf,Other expenses 24f,990 Core_Pt IX-24f(A),Num,17
totfuncexpns,Total functional expenses,990 Core_Pt IX-25(A),Num,17
nonintcashend,Cash -- non-interest bearing -- eoy,990 Core_Pt X-1(B),Num,17
svngstempinvend,Savings and temporary cash investments -- eoy,990 Core_Pt X-2(B),Num,17
pldgegrntrcvblend,Pledges and grants receivable -- eoy,990 Core_Pt X-3(B),Num,17
accntsrcvblend,Accounts receivable -- eoy,990 Core_Pt X-4(B),Num,17
currfrmrcvblend,"Receivables from officers, directors, etc. -- eoy",990 Core_Pt X-5(B),Num,17
rcvbldisqualend,Receivables from disqualified persons -- eoy,990 Core_Pt X-6(B),Num,17
notesloansrcvblend,Notes and loans receivables -- eoy,990 Core_Pt X-7(B),Num,17
invntriesalesend,Inventories for sale or use -- eoy,990 Core_Pt X-8(B),Num,17
prepaidexpnsend,Prepaid expenses or deferred charges -- eoy,990 Core_Pt X-9(B),Num,17
lndbldgsequipend,"Land, buildings, & equipment (net) -- eoy",990 Core_Pt X-10(B),Num,17
invstmntsend,Investments in publicly traded securities -- eoy,990 Core_Pt X-11(B),Num,17
invstmntsothrend,Investments in other securities -- eoy,990 Core_Pt X-12(B),Num,17
invstmntsprgmend,Program-related investments -- eoy,990 Core_Pt X-13(B),Num,17
intangibleassetsend,Intangible assets -- eoy,990 Core_Pt X-14(B),Num,17
othrassetsend,Other assets -- eoy,990 Core_Pt X-15(B),Num,17
totassetsend,Total assets -- eoy,990 Core_Pt X-16(B),Num,17
accntspayableend,Accounts payable and accrued expenses -- eoy,990 Core_Pt X-17(B),Num,17
grntspayableend,Grants payable -- eoy,990 Core_Pt X-18(B),Num,17
deferedrevnuend,Deferred revenue -- eoy,990 Core_Pt X-19(B),Num,17
txexmptbndsend,Tax-exempt bond liabilities -- eoy,990 Core_Pt X-20(B),Num,17
escrwaccntliabend,Escrow account liability -- eoy,990 Core_Pt X-21(B),Num,17
paybletoffcrsend,"Payables to officers, directors, etc. -- eoy",990 Core_Pt X-22(B),Num,17
secrdmrtgsend,Secured mortgages and notes payable -- eoy,990 Core_Pt X-23(B),Num,17
unsecurednotesend,Unsecured mortgages and notes payable -- eoy,990 Core_Pt X-24(B),Num,17
othrliabend,Other liabilities -- eoy,990 Core_Pt X-25(B),Num,17
totliabend,Total liabilities -- eoy,990 Core_Pt X-26(B),Num,17
unrstrctnetasstsend,Unrestricted net assets -- eoy,990 Core_Pt X-27(B),Num,17
temprstrctnetasstsend,Temporarily restricted net assets -- eoy,990 Core_Pt X-28(B),Num,17
permrstrctnetasstsend,Permanently restricted net assets -- eoy,990 Core_Pt X-29(B),Num,17
capitalstktrstend,Capital stock or trust principal -- eoy,990 Core_Pt X-30(B),Num,17
paidinsurplusend,Paid-in or capital surplus -- eoy,990 Core_Pt X-31(B),Num,17
retainedearnend,Retained earnings -- eoy,990 Core_Pt X-32(B),Num,17
totnetassetend,Total Net Assets -- eoy,990 Core_Pt X-33(B),Num,17
totnetliabastend,Total Liabilities + Net Assets -- eoy,990 Core_Pt X-34(B),Num,17
nonpfrea,Reason for non-PF status,990 Sch A_Pt I-1-11,Num,2
totnooforgscnt,Number of organizations supported,990 Sch A_Pt I-11h,Num,6
totsupport,Sum of amounts of support,990 Sch A_Pt I-11h(vii),Num,17
gftgrntsrcvd170,Gifts grants membership fees received (170),990 Sch A_Pt II-1(f),Num,17
txrevnuelevied170,Tax revenues levied (170),990 Sch A_Pt II-2(f),Num,17
srvcsval170,Services or facilities furnished by gov (170),990 Sch A_Pt II-3(f),Num,17
pubsuppsubtot170,Public support subtotal (170),990 Sch A_Pt II-4(f),Num,17
exceeds2pct170,Amount support exceeds total (170),990 Sch A_Pt II-5(f),Num,17
pubsupplesspct170,Public support (170),990 Sch A_Pt II-6(f),Num,17
samepubsuppsubtot170,Public support from line 4 (170),990 Sch A_Pt II-7(f),Num,17
grsinc170,Gross income from interest etc (170),990 Sch A_Pt II-8(f),Num,17
netincunreltd170,Net UBI (170),990 Sch A_Pt II-9(f),Num,17
othrinc170,Other income (170),990 Sch A_Pt II-10(f),Num,17
totsupp170,Total support (170),990 Sch A_Pt II-11(f),Num,17
grsrcptsrelated170,Gross receipts from related activities (170),990 Sch A_Pt II-12,Num,17
totgftgrntrcvd509,Gifts grants membership fees received (509),990 Sch A_Pt III-1(f),Num,17
grsrcptsadmissn509,Receipts from admissions merchandise etc (509),990 Sch A_Pt III-2(f),Num,17
grsrcptsactivities509,Gross receipts from related activities (509),990 Sch A_Pt III-3(f),Num,17
txrevnuelevied509,Tax revenues levied (509),990 Sch A_Pt III-4(f),Num,17
srvcsval509,Services or facilities furnished by gov (509),990 Sch A_Pt III-5(f),Num,17
pubsuppsubtot509,Public support subtotal (509),990 Sch A_Pt III-6(f),Num,17
rcvdfrmdisqualsub509,Amounts from disqualified persons (509),990 Sch A_Pt III-7a(f),Num,17
exceeds1pct509,Amount support exceeds total (509),990 Sch A_Pt III-7b(f),Num,17
subtotpub509,Public support subtotal (509),990 Sch A_Pt III-7c(f),Num,17
pubsupplesub509,Public support (509),990 Sch A_Pt III-8(f),Num,17
samepubsuppsubtot509,Public support from line 6 (509),990 Sch A_Pt III-9(f),Num,17
grsinc509,Gross income from interest etc (509),990 Sch A_Pt III-10a(f),Num,17
unreltxincls511tx509,Net UBI (509),990 Sch A_Pt III-10b(f),Num,17
subtotsuppinc509,Subtotal total support (509),990 Sch A_Pt III-10c(f),Num,17
netincunrelatd509,Net income from UBI not in 10b (509),990 Sch A_Pt III-11(f),Num,17
othrinc509,Other income (509),990 Sch A_Pt III-12(f),Num,17
totsupp509,Total support (509),990 Sch A_Pt III-13(f),Num,17
